Symbol,Name,Outstanding,IPO Year,Sector,Industry
LTBR,Lightbridge Corporation Common Stock,12569376,,Consumer Discretionary,Professional Services
LTC,LTC Properties Inc. Common Stock,41408693,,Real Estate,Real Estate Investment Trusts
LTH,Life Time Group Holdings Inc. Common Stock,196103459,2021,Consumer Discretionary,Hotels/Resorts
LTHM,Livent Corporation Common Stock,179715389,2018,Industrials,Major Chemicals
LTRN,Lantern Pharma Inc. Common Stock,10869040,2020,Health Care,Biotechnology: Pharmaceutical Preparations
LTRPA,Liberty TripAdvisor Holdings Inc. Series A Common Stock,76559394,,Technology,EDP Services
LTRPB,Liberty TripAdvisor Holdings Inc. Series B Common Stock,76559393,,Technology,EDP Services
LTRX,Lantronix Inc. Common Stock,36619483,2000,Telecommunications,Computer Communications Equipment
LTRY,Lottery.com Inc. Common Stock,-1,2023,Technology,Computer Software: Prepackaged Software
LTRYW,Lottery.com Inc. Warrants,-1,2023,Technology,Computer Software: Prepackaged Software
LU,Lufax Holding Ltd American Depositary Shares two of which representing one Ordinary Share,2290000000,2020,Finance,Finance: Consumer Services
LUCD,Lucid Diagnostics Inc. Common Stock,43725702,2021,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LUCY,Innovative Eyewear Inc. Common Stock,8417238,2022,Health Care,Ophthalmic Goods
LUCYW,Innovative Eyewear Inc. Series A Warrants,8417239,2022,Health Care,Ophthalmic Goods
LULU,lululemon athletica inc. Common Stock,121949470,2007,Consumer Discretionary,Apparel
LUMN,Lumen Technologies Inc. Common Stock,1007986100,,Telecommunications,Telecommunications Equipment
LUMO,Lumos Pharma Inc. Common Stock,8170526,2011,Health Care,Biotechnology: Pharmaceutical Preparations
LUNA,Luna Innovations Incorporated Common Stock,33404965,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch
LUNG,Pulmonx Corporation Common Stock,38027722,2020,Health Care,Industrial Specialties
LUNR,Intuitive Machines Inc. Class A Common Stock,84106457,2021,Industrials,Industrial Machinery/Components
LUNRW,Intuitive Machines Inc. Warrants,84106458,2021,Industrials,Industrial Machinery/Components
LUV,Southwest Airlines Company Common Stock,595633722,,Consumer Discretionary,Air Freight/Delivery Services
LUXH,LuxUrban Hotels Inc. Common Stock,35696591,2022,Finance,Real Estate
LVLU,Lulu's Fashion Lounge Holdings Inc. Common Stock,40159169,2021,Consumer Discretionary,Catalog/Specialty Distribution
LVO,LiveOne Inc. Common Stock,87100153,,Consumer Discretionary,Restaurants
LVOX,LiveVox Holdings Inc. Class A Common Stock,94203022,2021,Technology,EDP Services
LVOXW,LiveVox Holdings Inc. Warrant,94203021,2021,Technology,EDP Services
LVRO,Lavoro Limited Class A Ordinary Shares,116608300,,Finance,Blank Checks
LVS,Las Vegas Sands Corp. Common Stock,764447122,2004,Consumer Discretionary,Hotels/Resorts
LVTX,LAVA Therapeutics N.V. Ordinary Shares,26290000,2021,Health Care,Biotechnology: Pharmaceutical Preparations
LVWR,LiveWire Group Inc. Common Stock,202402888,2022,Miscellaneous,Miscellaneous
LW,Lamb Weston Holdings Inc. Common Stock ,145666702,2016,Consumer Staples,Packaged Foods
LWAY,Lifeway Foods Inc. Common Stock,14656155,,Consumer Staples,Packaged Foods
LWLG,Lightwave Logic Inc. Common Stock,116461639,,Industrials,Plastic Products
LX,LexinFintech Holdings Ltd. American Depositary Shares,162726889,2017,Finance,Finance: Consumer Services
LXEH,Lixiang Education Holding Co. Ltd. American Depositary Shares,13330000,2020,Consumer Discretionary,Educational Services
LXFR,Luxfer Holdings PLC Ordinary Shares,26922341,2012,Industrials,Major Chemicals
LXP,LXP Industrial Trust Common Stock (Maryland REIT),292606049,,Real Estate,Real Estate Investment Trusts
LXP^C,LXP Industrial Trust 6.5% Series C Cumulative Convertible Preferred Stock,-1,,Miscellaneous,Miscellaneous
LXRX,Lexicon Pharmaceuticals Inc. Common Stock,244924694,,Health Care,Biotechnology: Pharmaceutical Preparations
LXU,LSB Industries Inc. Common Stock,74344335,2003,Industrials,Major Chemicals
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),324197206,,Industrials,Major Chemicals
LYEL,Lyell Immunopharma Inc. Common Stock,251026996,2021,Health Care,Biotechnology: Pharmaceutical Preparations
LYFT,Lyft Inc. Class A Common Stock,377635336,2019,Consumer Discretionary,Business Services
LYG,Lloyds Banking Group Plc American Depositary Shares,66226000000,,Finance,Commercial Banks
LYRA,Lyra Therapeutics Inc. Common Stock,49545558,2020,Health Care,Medical/Dental Instruments
LYT,Lytus Technologies Holdings PTV. Ltd. Common Shares,37580000,2022,Technology,EDP Services
LYTS,LSI Industries Inc. Common Stock,28367653,1985,Consumer Discretionary,Building Products
LYV,Live Nation Entertainment Inc. Common Stock,230151239,,Consumer Discretionary,Services-Misc. Amusement & Recreation
LZ,LegalZoom.com Inc. Common Stock,191789748,2021,Technology,EDP Services
LZB,La-Z-Boy Incorporated Common Stock,43140416,,Consumer Discretionary,Home Furnishings
LZM,Lifezone Metals Limited Ordinary Shares,79418599,,Basic Materials,Metal Mining
M,Macy's Inc Common Stock,271395079,,Consumer Discretionary,Department/Specialty Retail Stores
MA,Mastercard Incorporated Common Stock,947852601,2006,Consumer Discretionary,Business Services
MAA,Mid-America Apartment Communities Inc. Common Stock,116676966,1994,Real Estate,Real Estate Investment Trusts
MAA^I,Mid-America Apartment Communities Inc. 8.50% Series I Cumulative Redeemable Preferred Stock,-1,,Miscellaneous,Miscellaneous
MAC,Macerich Company (The) Common Stock,215095209,1994,Real Estate,Real Estate Investment Trusts
MACA,Moringa Acquisition Corp Class A Ordinary Shares,0,2021,Finance,Blank Checks
MACAW,Moringa Acquisition Corp Warrant,0,2021,Finance,Blank Checks
MACK,Merrimack Pharmaceuticals Inc. Common Stock,14320953,2012,Health Care,Biotechnology: Pharmaceutical Preparations
MAG,MAG Silver Corporation Ordinary Shares,102852603,,Miscellaneous,Miscellaneous
MAIA,MAIA Biotechnology Inc. Common Stock,13625925,2022,Health Care,Biotechnology: Pharmaceutical Preparations
MAIN,Main Street Capital Corporation Common Stock,82428019,2007,Finance,Finance/Investors Services
MAMA,Mama's Creations Inc. Common Stock,36317856,,Consumer Staples,Specialty Foods
MAN,ManpowerGroup Common Stock,49581156,,Consumer Discretionary,Professional Services
MANH,Manhattan Associates Inc. Common Stock,61668802,1998,Technology,Computer Software: Prepackaged Software
MANU,Manchester United Ltd. Class A Ordinary Shares,164744973,2012,Consumer Discretionary,Services-Misc. Amusement & Recreation
MAPS,WM Technology Inc. Class A Common Stock ,148902004,2019,Technology,Computer Software: Prepackaged Software
MAPSW,WM Technology Inc. Warrants ,148902003,2019,Consumer Discretionary,Other Consumer Services
MAQC,Maquia Capital Acquisition Corporation Class A Common Stock,0,2021,Finance,Blank Checks
MAQCU,Maquia Capital Acquisition Corporation Unit,0,2021,Finance,Blank Checks
MAQCW,Maquia Capital Acquisition Corporation Warrant,0,2021,Finance,Blank Checks
MAR,Marriott International Class A Common Stock,298239582,,Consumer Discretionary,Hotels/Resorts
MARA,Marathon Digital Holdings Inc. Common Stock,174266312,,Technology,EDP Services
MARK,Remark Holdings Inc. Common Stock,14350057,,Consumer Discretionary,Telecommunications Equipment
MARPS,Marine Petroleum Trust Units of Beneficial Interest,2000000,,Energy,Oil & Gas Production
MARX,Mars Acquisition Corp. Ordinary Shares,0,2023,Finance,Blank Checks
MARXR,Mars Acquisition Corp. Rights,0,2023,Finance,Blank Checks
MARXU,Mars Acquisition Corp. Unit,0,2023,Finance,Blank Checks
MAS,Masco Corporation Common Stock,224926048,,Industrials,Industrial Specialties
MASI,Masimo Corporation Common Stock,52818075,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MASS,908 Devices Inc. Common Stock,32334184,2020,Health Care,Medical/Dental Instruments
MAT,Mattel Inc. Common Stock,354139491,,Consumer Discretionary,Recreational Games/Products/Toys
MATH,Metalpha Technology Holding Limited Ordinary Shares,26898370,2017,Finance,Finance/Investors Services
MATV,Mativ Holdings Inc. Common Stock,54842300,,Basic Materials,Paper
MATW,Matthews International Corporation Class A Common Stock,30467662,1994,Telecommunications,Metal Fabrications
MATX,Matson Inc. Common Stock,35289089,,Consumer Discretionary,Marine Transportation
MAV,Pioneer Municipal High Income Advantage Fund Inc.,0,,Finance,Finance Companies
MAX,MediaAlpha Inc. Class A Common Stock,64347797,2020,Industrials,Industrial Machinery/Components
MAXN,Maxeon Solar Technologies Ltd. Ordinary Shares,52529810,,Technology,Semiconductors
MAYS,J. W. Mays Inc. Common Stock,2015780,,Real Estate,Building operators
MBAC,M3-Brigade Acquisition II Corp. Class A Common Stock,14536980,2021,Consumer Discretionary,Telecommunications Equipment
MBC,MasterBrand Inc. Common Stock,128509499,2022,Industrials,Agricultural Chemicals
MBCN,Middlefield Banc Corp. Common Stock,8088792,,Finance,Major Banks
MBI,MBIA Inc. Common Stock,51934943,1987,Finance,Property-Casualty Insurers
MBIN,Merchants Bancorp Common Stock,43237300,2017,Finance,Major Banks
MBINM,Merchants Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of 8.25% Fixed-Rate Reset Series D Non-Cumulative Perpetual Preferred Stock,43237300,,Finance,Major Banks
MBINN,Merchants Bancorp Depositary Shares Preferred Series C,43237300,,Finance,Major Banks
MBINO,Merchants Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of Series B  Fixed-to-Floating Rate,43237300,,Finance,Major Banks
MBINP,Merchants Bancorp 7.00% Fixed-to-Floating Rate Series A Non-Cumulative Perpetual Preferred Stock,43237299,,Finance,Major Banks
MBIO,Mustang Bio Inc. Common Stock,8160913,,Health Care,Biotechnology: Pharmaceutical Preparations
MBLY,Mobileye Global Inc. Class A Common Stock,51912142,2022,Technology,Computer Software: Prepackaged Software
MBNKP,Medallion Bank Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series F,0,2019,Finance,Commercial Banks
MBOT,Microbot Medical Inc. Common Stock,8130628,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MBRX,Moleculin Biotech Inc. Common Stock,29675509,2016,Health Care,Biotechnology: Pharmaceutical Preparations
MBSC,M3-Brigade Acquisition III Corp. Class A Common Stock,37500000,2021,Finance,Blank Checks
MBTC,Nocturne Acquisition Corporation Ordinary Shares,0,2021,Finance,Blank Checks
MBUU,Malibu Boats Inc. Class A Common Stock,20624723,2014,Industrials,Marine Transportation
MBWM,Mercantile Bank Corporation Common Stock,16018215,1998,Finance,Major Banks
MC,Moelis & Company Class A Common Stock,71063263,2014,Finance,Investment Bankers/Brokers/Service
MCAA,Mountain & Co. I Acquisition Corp. Class A Ordinary Shares,0,2021,Finance,Blank Checks
MCAAU,Mountain & Co. I Acquisition Corp. Unit,0,2021,Finance,Blank Checks
MCAAW,Mountain & Co. I Acquisition Corp. Warrant,0,2021,Finance,Blank Checks
MCAC,Monterey Capital Acquisition Corporation Class A Common Stock,0,2022,Finance,Blank Checks
MCAF,Mountain Crest Acquisition Corp. IV Common Stock,0,2021,Finance,Blank Checks
MCAG,Mountain Crest Acquisition Corp. V Common Stock,0,2021,Finance,Blank Checks
MCAGR,Mountain Crest Acquisition Corp. V Right,0,2021,Finance,Blank Checks
MCB,Metropolitan Bank Holding Corp. Common Stock,11062728,2017,Finance,Major Banks
MCBC,Macatawa Bank Corporation Common Stock,34291487,,Finance,Major Banks
MCBS,MetroCity Bankshares Inc. Common Stock,25279845,2019,Finance,Major Banks
MCD,McDonald's Corporation Common Stock,728763451,,Consumer Discretionary,Restaurants
MCFT,MasterCraft Boat Holdings Inc. Common Stock,17495267,2015,Industrials,Marine Transportation
MCHP,Microchip Technology Incorporated Common Stock,544334285,1993,Technology,Semiconductors
MCHX,Marchex Inc. Class B Common Stock,43364575,2004,Consumer Discretionary,Business Services
MCI,Barings Corporate Investors Common Stock,20261719,,Finance,Trusts Except Educational Religious and Charitable
MCK,McKesson Corporation Common Stock,134902380,,Health Care,Other Pharmaceuticals
MCLD,mCloud Technologies Corp. Common Shares,16160766,,Miscellaneous,Miscellaneous
MCLDW,mCloud Technologies Corp. Warrants,-1,,Miscellaneous,Miscellaneous
MCN,Madison Covered Call & Equity Strategy Fund Common Stock,0,2004,Miscellaneous,Miscellaneous
MCO,Moody's Corporation Common Stock,183500000,,Finance,Finance: Consumer Services
MCOM,micromobility.com Inc. Class A Common stock,11113549,2019,Consumer Discretionary,Business Services
MCOMW,micromobility.com Inc. Warrant,0,2019,Consumer Discretionary,Business Services
MCR,MFS Charter Income Trust Common Stock,44008379,1989,Finance,Trusts Except Educational Religious and Charitable
MCRB,Seres Therapeutics Inc. Common Stock,128204613,2015,Health Care,Biotechnology: Pharmaceutical Preparations
MCRI,Monarch Casino & Resort Inc. Common Stock,19144138,1993,Consumer Discretionary,Hotels/Resorts
MCS,Marcus Corporation (The) Common Stock,31690354,,Consumer Discretionary,Movies/Entertainment
MCVT,Mill City Ventures III Ltd. Common Stock,6185255,,Finance,Finance Companies
MCW,Mister Car Wash Inc. Common Stock,312503200,2021,Miscellaneous,Miscellaneous
MCY,Mercury General Corporation Common Stock,55371126,,Finance,Property-Casualty Insurers
MD,Pediatrix Medical Group Inc. Common Stock,83941842,,Health Care,Hospital/Nursing Management
MDB,MongoDB Inc. Class A Common Stock,70581376,2017,Technology,Computer Software: Prepackaged Software
MDC,M.D.C. Holdings Inc. Common Stock,74546435,,Consumer Discretionary,Homebuilding
MDGL,Madrigal Pharmaceuticals Inc. Common Stock,18471232,2007,Health Care,Biotechnology: Pharmaceutical Preparations
MDGS,Medigus Ltd. American Depositary Shares,1644098,,Health Care,Medical/Dental Instruments
MDIA,Mediaco Holding Inc. Class A Common Stock ,25883735,,Consumer Discretionary,Broadcasting
MDJH,MDJM LTD Ordinary Share,11680000,2019,Finance,Real Estate
MDLZ,Mondelez International Inc. Class A Common Stock,1360417918,,Consumer Staples,Packaged Foods
MDNA,Medicenna Therapeutics Corp. Common Shares,69637470,,Health Care,Biotechnology: Pharmaceutical Preparations
MDRR,Medalist Diversified REIT Inc. Common Stock,2218810,2018,Real Estate,Real Estate Investment Trusts
MDRRP,Medalist Diversified REIT Inc. Series A Cumulative Redeemable Preferred Stock,2218809,,Real Estate,Real Estate Investment Trusts
MDRX,Veradigm Inc. Common Stock,109259776,,Technology,EDP Services
MDT,Medtronic plc. Ordinary Shares,1330179977,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MDU,MDU Resources Group Inc. Common Stock (Holding Company),203638372,,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MDV,Modiv Inc. Class C Common Stock,7553709,2022,Consumer Discretionary,Transportation Services
MDV^A,Modiv Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock,-1,,Miscellaneous,Miscellaneous
MDVL,MedAvail Holdings Inc. Common Stock,1610479,,Consumer Staples,Retail-Drug Stores and Proprietary Stores
MDWD,MediWound Ltd. Ordinary Shares,7240019,2014,Health Care, Medicinal Chemicals and Botanical Products 
MDWT,Midwest Holding Inc. Common Stock,3728601,,Finance,Life Insurance
MDXG,MiMedx Group Inc Common Stock,116109125,,Health Care,Biotechnology: Pharmaceutical Preparations
MDXH,MDxHealth SA American Depositary Shares,16288094,2021,Miscellaneous,Miscellaneous
ME,23andMe Holding Co. Class A Common Stock,472490631,,Health Care,Precision Instruments
MEC,Mayville Engineering Company Inc. Common Stock,20392593,2019,Industrials,Industrial Specialties
MED,MEDIFAST INC Common Stock,10889368,,Consumer Discretionary,Other Consumer Services
MEDP,Medpace Holdings Inc. Common Stock,30562773,2016,Health Care,Biotechnology: Commercial Physical & Biological Resarch
MEDS,TRxADE HEALTH Inc. Common Stock,680725,,Health Care,Other Pharmaceuticals
MEG,Montrose Environmental Group Inc. Common Stock,30078195,2020,Consumer Discretionary,Professional Services
MEGI,MainStay CBRE Global Infrastructure Megatrends Term Fund Common Shares,0,2021,Finance,Investment Managers
MEGL,Magic Empire Global Limited Ordinary Shares,20260000,2022,Finance,Finance: Consumer Services
MEI,Methode Electronics Inc. Common Stock,35985712,,Technology,Electrical Products
MEIP,MEI Pharma Inc. Common Stock,6662857,2003,Health Care,Biotechnology: Pharmaceutical Preparations
MELI,MercadoLibre Inc. Common Stock,50092669,2007,Consumer Discretionary,Catalog/Specialty Distribution
MEOH,Methanex Corporation Common Stock,67377491,,Miscellaneous,Miscellaneous
MER^K,Bank of America Corporation Income Capital Obligation Notes initially due December 15 2066,-1,,Miscellaneous,Miscellaneous
MERC,Mercer International Inc. Common Stock,66524866,,Basic Materials,Paper
MESA,Mesa Air Group Inc. Common Stock,40619274,2018,Consumer Discretionary,Air Freight/Delivery Services
MESO,Mesoblast Limited American Depositary Shares,130090910,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MET,MetLife Inc. Common Stock,752022444,2000,Finance,Life Insurance
MET^A,MetLife Inc. Preferred Series A Floating Rate,-1,,Miscellaneous,Miscellaneous
MET^E,MetLife Inc. Depositary shares each representing a 1/1000th interest in a share of the Issuera??s 5.625% Non-Cumulative Preferred Stock Series E.,-1,,Miscellaneous,Miscellaneous
MET^F,MetLife Inc. Depositary Shares each representing a 1/1000th interest in a share of 4.75% Non-Cumulative Preferred Stock Series F,-1,,Miscellaneous,Miscellaneous
META,Meta Platforms Inc. Class A Common Stock,2562732034,2012,Technology,Computer Software: Programming Data Processing
METC,Ramaco Resources Inc. Class A Common Stock,52685994,2017,Energy,Coal Mining
METCB,Ramaco Resources Inc. Class B Common Stock,52685994,,Energy,Coal Mining
METCL,Ramaco Resources Inc. 9.00% Senior Notes due 2026,52685995,,Energy,Coal Mining
METX,Meten Holding Group Ltd. Ordinary Shares,24170000,,Consumer Discretionary,Educational Services
METXW,Meten Holding Group Ltd. Warrant,20880159,,Consumer Discretionary,Educational Services
MF,Missfresh Limited American Depositary Shares,6896953,2021,Consumer Discretionary,Other Specialty Stores
MFA,MFA Financial Inc.,101915796,,Real Estate,Real Estate Investment Trusts
MFA^B,MFA Financial Inc. Preferred Series B,-1,,Miscellaneous,Miscellaneous
MFA^C,MFA Financial Inc. 6.50% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,-1,,Miscellaneous,Miscellaneous
MFC,Manulife Financial Corporation Common Stock,1850000000,,Finance,Life Insurance
MFD,Macquarie First Trust Global Common Stock,8547441,2004,Finance,Trusts Except Educational Religious and Charitable
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),12692824960,,Finance,Major Banks
MFH,Mercurity Fintech Holding Inc. Ordinary Shares,46538115,2015,Finance,Finance: Consumer Services
MFIC,MidCap Financial Investment Corporation Common Stock,65253274,2004,Finance,Finance/Investors Services
MFIN,Medallion Financial Corp. Common Stock,23362089,,Finance,Finance: Consumer Services
MFM,MFS Municipal Income Trust Common Stock,41187630,1986,Finance,Finance Companies
MFV,MFS Special Value Trust Common Stock,7304019,,Finance,Trusts Except Educational Religious and Charitable
MG,Mistras Group Inc Common Stock,30301985,2009,Consumer Discretionary,Military/Government/Technical
MGA,Magna International Inc. Common Stock,286163296,,Consumer Discretionary,Auto Parts:O.E.M.
MGAM,Mobile Global Esports Inc. Common Stock,20421593,2022,Consumer Discretionary,Services-Misc. Amusement & Recreation
MGEE,MGE Energy Inc,36163370,,Energy,Electric Utilities: Central
MGF,MFS Government Markets Income Trust Common Stock,32597393,1987,Finance,Trusts Except Educational Religious and Charitable
MGIC,Magic Software Enterprises Ltd. Ordinary Shares,49090000,1991,Technology,Computer Software: Prepackaged Software
MGIH,Millennium Group International Holdings Limited Ordinary Shares,11250000,2023,Consumer Discretionary,Publishing
MGLD,The Marygold Companies Inc. Common Stock,39383459,2022,Finance,Finance/Investors Services
MGM,MGM Resorts International Common Stock,350889195,,Consumer Discretionary,Hotels/Resorts
MGNI,Magnite Inc. Common Stock,136958659,,Technology,Computer Software: Programming Data Processing
MGNX,MacroGenics Inc. Common Stock,61838892,2013,Health Care,Biotechnology: Pharmaceutical Preparations
MGOL,MGO Global Inc. Common Stock,14241540,2023,Consumer Discretionary,Advertising
MGPI,MGP Ingredients Inc.,22015195,,Consumer Staples,Beverages (Production/Distribution)
MGR,Affiliated Managers Group Inc. 5.875% Junior Subordinated Notes due 2059,35046930,2019,Finance,Investment Managers
MGRB,Affiliated Managers Group Inc. 4.750% Junior Subordinated Notes due 2060,35046930,2020,Finance,Investment Managers
MGRC,McGrath RentCorp Common Stock,24484992,1984,Consumer Discretionary,Diversified Commercial Services
MGRD,Affiliated Managers Group Inc. 4.200% Junior Subordinated Notes due 2061,35046930,2021,Finance,Investment Managers
MGRM,Monogram Orthopaedics Inc. Common Stock,0,2023,Health Care,Medical/Dental Instruments
MGRX,Mangoceuticals Inc. Common Stock,16714500,2023,Technology,Computer Software: Prepackaged Software
MGTA,Magenta Therapeutics Inc. Common Stock,60664696,2018,Health Care,Biotechnology: Pharmaceutical Preparations
MGTX,MeiraGTx Holdings plc Ordinary Shares,59500314,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,209730478,2017,Energy,Oil & Gas Production
MGYR,Magyar Bancorp Inc. Common Stock,6688789,2006,Finance,Major Banks
MHD,Blackrock MuniHoldings Fund Inc. Common Stock,149302633,1997,Finance,Investment Bankers/Brokers/Service
MHF,Western Asset Municipal High Income Fund Inc. Common Stock,0,1988,Finance,Finance/Investors Services
MHH,Mastech Digital Inc Common Stock,11651262,,Consumer Discretionary,Professional Services
MHI,Pioneer Municipal High Income Fund Inc.,0,2003,Finance,Investment Managers
MHK,Mohawk Industries Inc. Common Stock,63682156,,Consumer Discretionary,Home Furnishings
MHLA,Maiden Holdings Ltd. 6.625% Notes due 2046,101763727,2016,Finance,Property-Casualty Insurers
MHLD,Maiden Holdings Ltd.,101605814,2008,Finance,Property-Casualty Insurers
MHN,Blackrock MuniHoldings New York Quality Fund Inc. Common Stock,149302632,1997,Finance,Investment Bankers/Brokers/Service
MHNC,Maiden Holdings North America Ltd. 7.75% Notes due 2043,101763726,2013,Finance,Property-Casualty Insurers
MHO,M/I Homes Inc. Common Stock,27799016,1993,Consumer Discretionary,Homebuilding
MHUA,Meihua International Medical Technologies Co. Ltd. Ordinary Shares,23940000,2022,Health Care,Medical Specialities
MICS,The Singing Machine Company Inc. Common Stock,4220258,,Consumer Staples,Diversified Electronic Products
MIDD,Middleby Corporation (The) Common Stock,53609742,,Industrials,Industrial Machinery/Components
MIGI,Mawson Infrastructure Group Inc. Common Stock,16208041,,Finance,Finance: Consumer Services
MIMO,Airspan Networks Holdings Inc. Common Stock,74582992,2020,Consumer Discretionary,Telecommunications Equipment
MIN,MFS Intermediate Income Trust Common Stock,114897771,1988,Finance,Trusts Except Educational Religious and Charitable
MIND,MIND Technology Inc. Common Stock (DE),13788738,1994,Industrials,Industrial Machinery/Components
MINDP,MIND Technology Inc. Series A 9.00% Series A Cumulative Preferred Stock (DE),13788739,,Industrials,Industrial Machinery/Components
MINM,Minim Inc. Common Stock,47188377,,Utilities,Telecommunications Equipment
MIO,Pioneer Municipal High Income Opportunities Fund Inc. Common Stock,0,2021,Finance,Investment Managers
MIR,Mirion Technologies Inc. Class A Common Stock,225790641,2020,Technology,Industrial Machinery/Components
MIRA,MIRA Pharmaceuticals Inc. Common Stock,0,2023,Miscellaneous,Miscellaneous
MIRM,Mirum Pharmaceuticals Inc. Common Stock,38297975,2019,Health Care,Biotechnology: Pharmaceutical Preparations
MIRO,Miromatrix Medical Inc. Common Stock,27239938,2021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MIST,Milestone Pharmaceuticals Inc. Common Shares,33357719,2019,Health Care,Pharmaceuticals and Biotechnology
MITA,Coliseum Acquisition Corp. Class A Ordinary Share,0,2021,Finance,Blank Checks
MITK,Mitek Systems Inc. Common Stock,45507400,,Technology,Computer peripheral equipment
MITQ,Moving iMage Technologies Inc. Common Stock,10913509,2021,Telecommunications,Telecommunications Equipment
MITT,AG Mortgage Investment Trust Inc. Common Stock,20247244,2011,Real Estate,Real Estate Investment Trusts
MITT^A,AG Mortgage Investment Trust Inc. 8.25% Preferred Series A,-1,,Miscellaneous,Miscellaneous
MITT^B,AG Mortgage Investment Trust Inc. Preferred Series B,-1,,Miscellaneous,Miscellaneous
MITT^C,AG Mortgage Investment Trust Inc. 8.00% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,-1,,Miscellaneous,Miscellaneous
MIXT,MiX Telematics Limited American Depositary Shares each representing 25 Ordinary Shares,22132927,2013,Technology,Computer Software: Prepackaged Software
MIY,Blackrock MuniYield Michigan Quality Fund Inc. Common Stock,149302633,1992,Finance,Investment Bankers/Brokers/Service
MKC,McCormick & Company Incorporated Common Stock,268220599,,Consumer Staples,Packaged Foods
MKFG,Markforged Holding Corporation Common Stock,196335665,2020,Technology,Retail: Computer Software & Peripheral Equipment
MKL,Markel Group Inc. Common Stock,13264491,1986,Finance,Property-Casualty Insurers
MKSI,MKS Instruments Inc. Common Stock,66862788,1999,Industrials,Industrial Machinery/Components
MKTW,MarketWise Inc. Class A Common Stock,326521944,,Technology,Computer Software: Prepackaged Software
MKTX,MarketAxess Holdings Inc. Common Stock,37677426,2004,Finance,Investment Bankers/Brokers/Service
MKUL,Molekule Group Inc. Common Stock,34002750,2021,Utilities,Environmental Services
ML,MoneyLion Inc. Class A Common Stock,8798196,2020,Technology,Retail: Computer Software & Peripheral Equipment
MLAB,Mesa Laboratories Inc. Common Stock,5384291,,Industrials,Industrial Machinery/Components
MLCO,Melco Resorts & Entertainment Limited American Depositary Shares,456684048,2006,Consumer Discretionary,Hotels/Resorts
MLEC,Moolec Science SA Ordinary Shares,0,,Finance,Blank Checks
MLECW,Moolec Science SA Warrant,0,,Finance,Blank Checks
MLGO,MicroAlgo Inc. Ordinary Shares,43856710,2021,Technology,EDP Services
MLI,Mueller Industries Inc. Common Stock,56778790,,Industrials,Metal Fabrications
MLKN,MillerKnoll Inc. Common Stock,75701287,,Consumer Discretionary,Office Equipment/Supplies/Services
MLM,Martin Marietta Materials Inc. Common Stock,61804211,1994,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MLNK,MeridianLink Inc. Common Stock,81408313,2021,Technology,Computer Software: Prepackaged Software
MLP,Maui Land & Pineapple Company Inc. Common Stock,19614221,1998,Finance,Real Estate
MLR,Miller Industries Inc. Common Stock,11441036,,Consumer Discretionary,Construction/Ag Equipment/Trucks
MLSS,Milestone Scientific Inc. Common Stock,69998524,2015,Health Care,Industrial Specialties
MLTX,MoonLake Immunotherapeutics Class A Ordinary Shares,52701111,2020,Health Care,Biotechnology: Pharmaceutical Preparations
MLYS,Mineralys Therapeutics Inc. Common Stock,40856653,2023,Health Care,Biotechnology: Pharmaceutical Preparations
MMAT,Meta Materials Inc. Common Stock,477261143,,Technology,Semiconductors
MMC,Marsh & McLennan Companies Inc. Common Stock,493953729,,Finance,Specialty Insurers
MMD,MainStay MacKay DefinedTerm Municipal Opportunities Fund,0,2012,Finance,Investment Managers
MMI,Marcus & Millichap Inc. Common Stock,38460595,2013,Finance,Real Estate
MMLP,Martin Midstream Partners L.P. Limited Partnership,38914806,2002,Energy,Oil Refining/Marketing
MMM,3M Company Common Stock,551992430,,Health Care,Medical/Dental Instruments
MMP,Magellan Midstream Partners L.P. Limited Partnership,202095600,,Energy,Natural Gas Distribution
MMS,Maximus Inc. Common Stock,60783620,1997,Consumer Discretionary,Business Services
MMSI,Merit Medical Systems Inc. Common Stock,57635381,,Health Care,Medical/Dental Instruments
MMT,MFS Multimarket Income Trust Common Stock,59548305,1987,Finance,Trusts Except Educational Religious and Charitable
MMU,Western Asset Managed Municipals Fund Inc. Common Stock,0,1992,Finance,Investment Managers
